name,Summary,actors,director,BigCategory,SmallCategory,Category,runningtime,SMRY
핑크퐁 동물 동요,,핑크퐁,,키즈,기타,키즈,1,"겨울잠. 숲, 바다, 극지방 등 세계 여러 곳에 사는 동물 친구들을 만나러 가자! 아이들이 가장 좋아하는 동물들의 일상을 재미있는 동요로 만나보세요."
라바 키즈동요 Part4,,"엘로우,레드",,키즈,기타,키즈,2,징글벨 크리스마스. 안녕하신가 친구들! 메리 크리스마스~ 징글벨 크리스마스 징글벨 크리스마스~!
지니강이 플러스 시즌7,,"헤이지니,럭키강이",,키즈,기타,키즈,11,"로봇 세상에서 킥보드를 타요. 로보카 폴리 브룸스 타운에서 킥보드를 타요~ / 새로운 고스트볼. 신비아파트 새로운 고스트볼?! 도한, 두억시니 리턴즈 고스트볼X."
엉뚱남매 요리조리쇼,,"기원,예현,홍윤화",,키즈,기타,키즈,11,먹을 수 있는 물병. 지구 환경을 지키자는 엉뚱남매. 하지만 말처럼 쉽게 지켜지지가 않는데... 이때 생각해낸 먹을 수 있는 물병! 어떻게 먹을 수 있는 물병이 만들어지는지 지켜보자!
라바 키즈동요 Part3,,-,,키즈,기타,키즈,2,"CLEAN UP SONG. Clean up Clean up everybody clean up, Clean up Clean up everybody clean up."
지니강이 플러스 시즌9,,"헤이지니,럭키강이",,키즈,기타,키즈,11,지니가 화장품으로 슬라임을 만들어요. / 슈퍼히어로 강이! 문을 열면 춤을 춰요.
엘리가간다 시즌12,,-,,키즈,기타,키즈,13,미니 시리얼 팬케이크 만들기.
지니강이 플러스 시즌8,,"헤이지니,럭키강이",,키즈,기타,키즈,15,신비 아파트 귀신 벨라가 나타났어요! / 강이와 지니가 요괴메카드 이천숭이 호랑나비 나쁜 요괴들을 혼내줘요.
헤이지니 럭키강이 Part1,,"헤이지니,럭키강이",,키즈,기타,키즈,8,지니가 초대형 볼풀장에 놀러간 이야기.
우당탕탕 에디의 실험실,,"에디,뽀로로,통통이,크롱,포비,루피,패티",,키즈,기타,키즈,4,말랑말랑 스퀴시 만들기! 에디와 함께 스퀴시를 만들어 볼까요? 오늘은 루피를 위해 스퀴시를 직접 만들어 보아요!
티티체리,,"체리,베리",,키즈,기타,키즈,11,"퍼즈니멀들이 비눗방울을 타고 사라져버렸어! 이대로 가만히 있을 수 없지, 우리도 비눗방울 타고 따라가자! 티티 크루가 도착한 곳은 바로 아일의 성! 아일의 계략으로 체리, 베리, 레몬이 갇히고 마는데... 타민이 용과와 키위를 데리고 나타난다."
달려라 캐리,,-,,키즈,기타,키즈,19,캐리가 세차장 아르바이트생이 되었어요! 엄격한 선배님으로 돌아온 돌쇠와 함께 버블 세차에 도전해요!
핑크퐁 3D 율동 동요,,핑크퐁,,키즈,기타,키즈,1,티라노사우르스. 흥얼흥얼 따라부르면 길고 어려운 공룡이름도 척척! 다양한 특징을 가진 공룡 친구들을 노래로 만나요.
타요의 씽씽극장 동요2,,-,,키즈,기타,키즈,2,축하축하 축하해요. 오늘은 기쁘고 즐거운 날이에요. 슬픈 일은 나누면 줄고 기쁜 일은 나누면 커지죠. 친구야 정말 정말 축하해!
라바 키즈동요 Part2,,"옐로우,레드",,키즈,기타,키즈,2,FEELINGS. Why are you so happy? i am happy because today is my birthday. why are you so sad? i am sad because my dog messed up my room.
로티프렌즈 놀이공원 동요,,"로티,그리피,캔디코,베블리",,키즈,기타,키즈,1,돌고 도는 롤러코스터. 로티프렌즈와 돌고 도는 롤러코스터를 타요!
캐리tv 댄스cool,,-,,키즈,기타,키즈,14,"오늘은 친구들이 #댄스쿨 챌린지에 참여해 준 영상들을 루시와 스텔라가 직접 리뷰해 보고, 함께 보내준 메시지를 읽는 시간이에요! 루시와 스텔라보다 잘 추는 친구들이 나타났다니, 이게 다 루시와 스텔라가 열심히 가르쳐 준 덕분이라고요~"
