,name,Summary,actors,director,BigCategory,SmallCategory,Category,runningtime,SMRY,vod_name
0,지니강이 플러스 시즌7,친구들 안녕! 지니와 강이와 함께 신나는 장난감 놀이와 두근두근 대결놀이까지! 함께 신나게 놀아요~! 어린이 프로그램,"헤이지니,럭키강이",,키즈,기타,키즈,0:11,"로봇 세상에서 킥보드를 타요. 로보카 폴리 브룸스 타운에서 킥보드를 타요~ / 새로운 고스트볼. 신비아파트 새로운 고스트볼?! 도한, 두억시니 리턴즈 고스트볼X.",지니강이 플러스 시즌7
1,라바 키즈동요 Part3,"CLEAN UP SONG. Clean up Clean up everybody clean up, Clean up Clean up everybody clean up.",-,,키즈,기타,키즈,0:02,"CLEAN UP SONG. Clean up Clean up everybody clean up, Clean up Clean up everybody clean up.",라바 키즈동요 Part3
2,지니강이 플러스 시즌9,지니가 화장품으로 슬라임을 만들어요. / 슈퍼히어로 강이! 문을 열면 춤을 춰요.,"헤이지니,럭키강이",,키즈,기타,키즈,0:11,지니가 화장품으로 슬라임을 만들어요. / 슈퍼히어로 강이! 문을 열면 춤을 춰요.,지니강이 플러스 시즌9
3,헤이지니 럭키강이 Part1,지니가 초대형 볼풀장에 놀러간 이야기.,"헤이지니,럭키강이",,키즈,기타,키즈,0:08,지니가 초대형 볼풀장에 놀러간 이야기.,헤이지니 럭키강이 Part1
4,우당탕탕 에디의 실험실,말랑말랑 스퀴시 만들기! 에디와 함께 스퀴시를 만들어 볼까요? 오늘은 루피를 위해 스퀴시를 직접 만들어 보아요!,"에디,뽀로로,통통이,크롱,포비,루피,패티",,키즈,기타,키즈,0:04,말랑말랑 스퀴시 만들기! 에디와 함께 스퀴시를 만들어 볼까요? 오늘은 루피를 위해 스퀴시를 직접 만들어 보아요!,우당탕탕 에디의 실험실
5,달려라 캐리,캐리가 세차장 아르바이트생이 되었어요! 엄격한 선배님으로 돌아온 돌쇠와 함께 버블 세차에 도전해요!,-,,키즈,기타,키즈,0:19,캐리가 세차장 아르바이트생이 되었어요! 엄격한 선배님으로 돌아온 돌쇠와 함께 버블 세차에 도전해요!,달려라 캐리
6,라바 키즈동요 Part2,FEELINGS. Why are you so happy? i am happy because today is my birthday. why are you so sad? i am sad because my dog messed up my room.,"옐로우,레드",,키즈,기타,키즈,0:02,FEELINGS. Why are you so happy? i am happy because today is my birthday. why are you so sad? i am sad because my dog messed up my room.,라바 키즈동요 Part2
7,캐리tv 댄스cool,"오늘은 친구들이 #댄스쿨 챌린지에 참여해 준 영상들을 루시와 스텔라가 직접 리뷰해 보고, 함께 보내준 메시지를 읽는 시간이에요! 루시와 스텔라보다 잘 추는 친구들이 나타났다니, 이게 다 루시와 스텔라가 열심히 가르쳐 준 덕분이라고요~",-,,키즈,기타,키즈,0:14,"오늘은 친구들이 #댄스쿨 챌린지에 참여해 준 영상들을 루시와 스텔라가 직접 리뷰해 보고, 함께 보내준 메시지를 읽는 시간이에요! 루시와 스텔라보다 잘 추는 친구들이 나타났다니, 이게 다 루시와 스텔라가 열심히 가르쳐 준 덕분이라고요~",캐리tv 댄스cool
8,안녕자두야 시즌5,"80년대 소녀기를 보낸 요즘 10대들의 엄마 어렸을 적 이야기로, 온가족이 볼 수 있는 코믹명랑 애니메이션",최자두,,키즈,애니메이션,키즈,0:14,"자두와 앵두 (하). 모함글 하나로 순식간에 대역죄인으로 찍힌 자두 가족. 자두와 앵두는 결백을 증명하기 위해, 자두와 친구들이 10살 때 묻은 롤링페이퍼를 찾아나선다.",안녕자두야 시즌5
9,뽀스타그램2,"타요 특집: 멋진 내 친구들! 경찰차도, 소방차도, 모두모두 멋진 내 친구야! [해시태그] 세상에서 제일멋진 친구들",뽀로로와 친구들,,키즈,애니메이션,키즈,0:22,"타요 특집: 멋진 내 친구들! 경찰차도, 소방차도, 모두모두 멋진 내 친구야! [해시태그] 세상에서 제일멋진 친구들",뽀스타그램2
